gender,senior_citizen,Partner,Dependents,tenure,contract,paperless_billing,monthly_charges,total_charges,phone_service,charge_per_tenure,total_addons,high_risk_flag,payment_risk_flag,tenure_group,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,online_security_No internet service,online_security_Yes,online_backup_No internet service,online_backup_Yes,device_protection_No internet service,device_protection_Yes,tech_support_No internet service,tech_support_Yes,streaming_tv_No internet service,streaming_tv_Yes,streaming_movies_No internet service,streaming_movies_Yes,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,churn
1,0,0,0,0.1023712383613841,0,0,-0.5219756496159262,-0.26225719995201097,0,-0.5023626608459871,0.5079352703082123,0,1,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,0,1,1,-0.7117434584104956,0,0,0.3374778078243394,-0.5036347857749957,1,-0.11921851821206929,-0.5705298937831644,0,1,1.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,-0.7931549280876836,2,0,-0.8090131942822701,-0.7498829245931361,0,-0.3261965553680071,0.5079352703082123,0,1,1.0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,1,0,-0.2639803751859618,2,1,0.2843841579438598,-0.17272239466719,1,-0.3462580132940339,1.0471678523539008,0,0,2.0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0
1,0,1,1,-1.2816237461508113,0,0,-0.6762790695810708,-0.9893737196161955,1,1.9054235730137492,-1.109762475828853,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,1.3642490183577978,2,1,0.48348534499565887,1.2710674769778725,1,-0.5231027693903254,1.5864004343995892,0,0,3.0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0
0,0,0,0,-1.2816237461508113,0,0,-1.497571466169742,-1.0002337364297182,1,0.4803288909564722,-1.109762475828853,0,0,0.0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
0,0,1,0,0.30589991255435406,0,0,-0.27641751891870747,0.03500010874782714,1,-0.5007710300932582,-0.5705298937831644,0,0,2.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,1,0,1.3235432835192036,2,1,-0.17023021915774814,0.6620728371601656,1,-0.5554056707444153,-0.031297311737476054,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,1.1200146093262338,1,0,0.5183280527297236,1.1179083307653424,1,-0.5076801196143853,1.0471678523539008,0,0,3.0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0
0,1,0,0,-1.1188008067964355,0,0,-0.1669118660402181,-0.8826164634250809,1,0.48992548814204295,0.5079352703082123,0,0,0.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
0,0,1,1,-1.1188008067964355,0,1,-0.5153389433808665,-0.9068814706892347,1,0.2883969472450542,-0.5705298937831644,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,-1.2409180113122174,0,0,-0.46390447005915153,-0.9549288178036082,1,1.296039651729998,-0.5705298937831644,1,1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,1,-0.10115743583158582,0,0,0.08860132400959055,-0.13125687592464852,1,-0.4086255760785398,1.0471678523539008,0,1,2.0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0
1,0,1,0,0.14307697319997809,0,1,1.0111034906829266,0.5155174587473736,1,-0.36282295041795626,-0.031297311737476054,0,1,2.0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
